Month,Open,High,Low,Settle,Chg,BWAVE,Vol,EFP,EFS,Block,Prev Day Vol, Prev Day Open
Oct12,113.8,115.5,111.56,112.26,-1.33,113.12,"180,872","1,654","2,666","1,172","231,127","237,498"
Nov12,113.1,114.81,111.11,111.7,-1.31,112.59,"70,820",110,237,289,"110,546","194,041"
Dec12,112.62,114.25,110.69,111.26,-1.25,111.93,"79,819",0,668,923,"102,532","149,523"
Jan13,112.69,113.75,110.35,110.86,-1.2,111.29,"19,690",0,196,0,"24,884","53,545"
Feb13,112.22,113.26,109.98,110.44,-1.15,111.1,"7,406",0,781,185,"12,520","35,597"
Mar13,111.74,112.77,109.57,110,-1.1,110.63,"6,995",0,0,100,"9,919","36,836"
Apr13,111.57,112.13,109.14,109.56,-1.04,110.17,"4,050",0,0,0,"5,044","19,003"
May13,111.07,111.63,108.72,109.1,-0.99,109.5,"3,312",0,0,0,"5,409","18,656"
Jun13,110.56,111.11,108.28,108.64,-0.93,109.09,"15,506",0,808,550,"19,584","54,318"
Jul13,,,,108.2,-0.88,,899,0,0,0,"1,817","18,053"
Aug13,,,,107.75,-0.83,,674,0,0,0,"1,024","18,741"
Sep13,,,,107.29,-0.79,,"1,912",0,0,100,"2,843","23,315"
Oct13,,,,106.81,-0.76,,"1,788",0,0,0,"2,161","17,816"
Nov13,,,,106.36,-0.74,,764,0,0,0,"1,873","15,120"
Dec13,106.92,108.07,105.57,105.91,-0.71,106.4,"21,243",0,350,"1,407","27,967","95,648"
Jan14,,,,105.47,-0.67,,293,0,0,0,268,"11,397"
Feb14,,,,105.01,-0.61,,191,0,0,0,34,"4,311"
Mar14,,,,104.56,-0.58,,411,0,0,0,141,"5,091"
Apr14,,,,104.11,-0.53,,0,0,0,0,26,"1,850"
May14,,,,103.66,-0.5,,100,0,0,0,0,"1,505"
Jun14,103.76,103.76,102.83,103.18,-0.47,103.24,"1,018",0,45,100,"1,152","17,557"
Jul14,,,,102.72,-0.44,,10,0,0,0,0,"1,254"
Aug14,,,,102.27,-0.4,,0,0,0,0,0,850
Sep14,,,,101.83,-0.36,,0,0,0,0,0,"3,573"
Oct14,,,,101.39,-0.31,,0,0,0,0,0,897
Nov14,,,,100.96,-0.25,,0,0,0,0,0,"1,235"
Dec14,101.22,101.45,100.11,100.53,-0.2,100.64,"4,440",0,0,777,"4,101","44,309"
Jan15,,,,100.13,-0.17,,0,0,0,0,0,"1,201"
Feb15,,,,99.73,-0.14,,0,0,0,0,0,105
Mar15,,,,99.33,-0.11,,0,0,0,0,0,406
Apr15,,,,98.93,-0.07,,0,0,0,0,0,0
May15,,,,98.54,-0.02,,0,0,0,0,0,300
Jun15,,,,98.15,0.02,,66,0,0,0,8,"4,275"
Jul15,,,,97.8,0.07,,0,0,0,0,0,300
Aug15,,,,97.45,0.1,,0,0,0,0,0,0
Sep15,,,,97.11,0.12,,0,0,0,0,0,300
Oct15,,,,96.77,0.15,,0,0,0,0,0,350
Nov15,,,,96.43,0.2,,0,0,0,0,0,0
Dec15,96.35,96.42,95.6,96.09,0.26,95.82,817,0,0,0,898,"25,549"
Jan16,,,,95.8,0.29,,0,0,0,0,0,0
Feb16,,,,95.51,0.32,,0,0,0,0,0,350
Mar16,,,,95.22,0.35,,0,0,0,0,0,0
Apr16,,,,94.93,0.36,,0,0,0,0,0,300
May16,,,,94.64,0.38,,0,0,0,0,0,0
Jun16,,,,94.36,0.41,,0,0,0,0,0,231
Jul16,,,,94.1,0.46,,0,0,0,0,0,0
Aug16,,,,93.84,0.49,,0,0,0,0,0,0
Sep16,,,,93.59,0.51,,0,0,0,0,0,0
Oct16,,,,93.34,0.53,,0,0,0,0,0,0
Nov16,,,,93.09,0.55,,0,0,0,0,0,0
Dec16,92.61,92.8,92.36,92.84,0.57,92.64,414,0,0,0,287,"13,148"
Jun17,,,,91.71,0.64,,0,0,0,0,0,"2,453"
Dec17,90.28,90.31,90.28,90.79,0.69,90.29,55,0,0,0,56,"13,457"
Jun18,,,,90.37,0.69,,0,0,0,0,0,0
Dec18,89.4,89.4,89.23,89.95,0.68,89.37,7,0,0,0,1,"3,187"
Jun19,,,,89.91,0.68,,0,0,0,0,0,0
Dec19,,,,89.87,0.68,,0,0,0,0,0,21
