Month/Year,Open,High,Low,Last,Change,Settle,Estimated Volume,Prior Day Open Interest
OCT 12,96.67,97.72,94.41,,-0.68,95.47,"224,443","276,726"
NOV 12,96.9,97.98,94.73,,-0.66,95.79,"59,795","153,064"
DEC 12,97.2,98.27,95.08,,-0.63,96.16,"58,983","197,883"
JAN 13,97.86,98.64,95.54,,-0.61,96.59,"13,906","110,337"
FEB 13,98.1,98.71,95.89,,-0.58,96.91,"6,527","42,238"
MAR 13,98.25,99.01B,96.18,,-0.56,97.07,"11,068","54,574"
APR 13,98.58,98.58,96.15,,-0.55,97.03,"3,141","23,315"
MAY 13,98.43,98.51,96.29,,-0.53,96.88,"3,284","21,385"
JUN 13,98.53,98.53,95.66,,-0.52,96.65,"15,484","78,797"
JLY 13,97.86,97.86,96.24A,,-0.5,96.38,"1,455","27,731"
AUG 13,95.73,95.73,95.73,,-0.47,96.08,959,"17,848"
SEP 13,,,,,-0.43,95.78,"1,586","27,495"
OCT 13,,,,,-0.4,95.48,767,"14,682"
NOV 13,94.97,94.97,94.42A,,-0.38,95.19,506,"19,284"
DEC 13,95.92,96.19,93.96,,-0.34,94.91,"16,260","149,619"
JAN 14,,,,,-0.32,94.5,503,"20,129"
FEB 14,,,,,-0.29,94.15,47,"7,446"
MAR 14,,,,,-0.26,93.79,104,"11,314"
APR 14,,,,,-0.22,93.44,,"6,433"
MAY 14,,,,,-0.18,93.11,11,"3,884"
JUN 14,,,,,-0.16,92.78,743,"38,697"
JLY 14,,,,,-0.14,92.39,70,"2,934"
AUG 14,,,,,-0.12,92.05,,"2,836"
SEP 14,,,,,-0.11,91.75,,"14,562"
OCT 14,,,,,-0.09,91.48,,"2,399"
NOV 14,,,,,-0.06,91.25,,"3,618"
DEC 14,91.98,92.04,90.17,,-0.03,91.06,"2,446","78,580"
JAN 15,,,,,-0.02,90.73,4,"1,860"
FEB 15,,,,,UNCH,90.41,4,602
MAR 15,,,,,0.02,90.09,,"2,627"
APR 15,,,,,0.04,89.8,,122
MAY 15,,,,,0.07,89.52,,23
JUN 15,,,,,0.11,89.28,11,"6,992"
JLY 15,,,,,0.13,89.04,,424
AUG 15,,,,,0.16,88.81,,122
SEP 15,,,,,0.18,88.61,,525
OCT 15,,,,,0.2,88.41,,25
NOV 15,,,,,0.22,88.22,,"1,515"
DEC 15,87.6,88.14,87.6,,0.24,88.04,424,"40,511"
JAN 16,,,,,0.25,87.84,,"1,512"
FEB 16,,,,,0.26,87.65,,1
MAR 16,,,,,0.27,87.46,,509
APR 16,,,,,0.28,87.29,,8
MAY 16,,,,,0.29,87.13,,10
JUN 16,,,,,0.31,86.98,,796
JLY 16,,,,,0.33,86.83,,8
AUG 16,,,,,0.34,86.68,,9
SEP 16,,,,,0.35,86.53,,7
OCT 16,,,,,0.36,86.39,,7
NOV 16,,,,,0.37,86.25,,9
DEC 16,85.4,85.85,85.01,,0.38,86.12,61,"17,469"
JAN 17,,,,,0.38,86.04,,14
FEB 17,,,,,0.39,85.97,,3
MAR 17,,,,,0.4,85.9,,6
APR 17,,,,,0.4,85.83,,
MAY 17,,,,,0.41,85.77,,6
JUN 17,,,,,0.42,85.71,,109
JLY 17,,,,,0.42,85.65,,6
AUG 17,,,,,0.43,85.6,,
SEP 17,,,,,0.44,85.55,,6
OCT 17,,,,,0.45,85.5,,
NOV 17,,,,,0.46,85.45,,6
DEC 17,,,,,0.46,85.4,11,"9,845"
JUN 18,,,,,0.46,85.29,,240
DEC 18,,,,,0.46,85.18,1,"4,941"
JUN 19,,,,,0.46,85.12,,
DEC 19,,,,,0.46,85.06,,"2,923"
JUN 20,,,,,0.46,85.03,,
DEC 20,,,,,0.46,85,,374
